ticker,ATIVO,DIV_BRUTA,DISPONIBILIDADES,DIV_LIQUIDA,ATIVO_CIRCULANTE,PATRIM_LIQ,RECEITA_LIQUIDA,EBIT,LUCRO_LIQUIDO,NRO_ACOES,CRES_REC_(5A),ROIC,LIQUIDEZ_CORR,SETOR,SUBSETOR,DEPOSITOS,CART_DE_CREDITO,RESULT_INT_FINANC,REC_SERVICOS
SEBB11,177968000.0,765000.0,9932000.0,-9167000.0,64651000.0,145783000.0,424345000.0,39212000.0,33543000.0,282634000.0,0.5,0.24100000000000002,2.44,DIVERSOS,EDUCACIONAL,,,,
SEBB3,177968000.0,765000.0,9932000.0,-9167000.0,64651000.0,145783000.0,424345000.0,39212000.0,33543000.0,282634000.0,0.5,0.24100000000000002,2.44,DIVERSOS,EDUCACIONAL,,,,
SEBB4,177968000.0,765000.0,9932000.0,-9167000.0,64651000.0,145783000.0,424345000.0,39212000.0,33543000.0,282634000.0,0.5,0.24100000000000002,2.44,DIVERSOS,EDUCACIONAL,,,,
SEDU3,4075470000.0,1941720000.0,216679000.0,1725040000.0,1324330000.0,415869000.0,1811940000.0,-277681000.0,-466997000.0,262129000.0,0.109,-0.08199999999999999,1.09,MIDIA,JORNAIS_LIVROS_E_REVISTAS,,,,
SEER3,3026130000.0,630678000.0,700161000.0,-69483000.0,1133900000.0,1359600000.0,1290760000.0,236309000.0,92756000.0,128722000.0,0.047,0.10300000000000001,3.12,DIVERSOS,EDUCACIONAL,,,,
SEMP3,134601000.0,16000.0,12989000.0,-12973000.0,26470000.0,118441000.0,10716000.0,-36539000.0,-19912000.0,9585000.0,-0.10400000000000001,-0.302,1.64,COMERCIO,ELETRODOMESTICOS,,,,
SEQL3,804362000.0,441931000.0,72449000.0,369482000.0,277037000.0,65435000.0,0.0,0.0,0.0,126918000.0,,,1.05,SERVICOS,SERVICOS_DIVERSOS,,,,
SFSA3,5039520000.0,,,,,739524000.0,,,46253000.0,137747000.0,0.001,,,FINANCEIROS,BANCOS,0.0,0.0,0.0,0.0
SFSA4,5039520000.0,,,,,739524000.0,,,46253000.0,137747000.0,0.001,,,FINANCEIROS,BANCOS,0.0,0.0,0.0,0.0
SGEN3,246028000.0,2865510.0,229337.0,2636180.0,27458100.0,156981000.0,204418.0,-3825000.0,0.0,24275000000.0,-0.598,-0.016,0.65,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
SGEN4,246028000.0,2865510.0,229337.0,2636180.0,27458100.0,156981000.0,204418.0,-3825000.0,0.0,24275000000.0,-0.598,-0.016,0.65,CONSTRUCAO_E_ENGENHARIA,CONSTRUCAO_CIVIL,,,,
SGPS3,3148570000.0,979462000.0,220593000.0,758869000.0,1161060000.0,1169340000.0,1319340000.0,55789000.0,-355784000.0,50000000.0,-0.17800000000000002,0.02,1.21,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
SHOW3,624963000.0,160732000.0,217938000.0,-57206000.0,354527000.0,257677000.0,175815000.0,-28528000.0,-57496000.0,67413000.0,-0.26899999999999996,-0.076,1.44,VIAGENS_E_LAZER,PRODUCAO_DE_EVENTOS_E_SHOWS,,,,
SHUL4,1573420000.0,676433000.0,490260000.0,186173000.0,1001920000.0,656151000.0,951372000.0,74631000.0,80837000.0,89344000.0,0.18899999999999997,0.073,2.33,MAQUINAS_E_EQUIPAMENTOS,MOTORES_COMPRESSORES_E_OUTROS,,,,
SIMH3,23617500000.0,17205500000.0,8278160000.0,8927300000.0,12562800000.0,920731000.0,0.0,0.0,0.0,206166000.0,,,2.46,HOLDINGS_DIVERSIFICADAS,HOLDINGS_DIVERSIFICADAS,,,,
SJOS3,5087000.0,19715000.0,28000.0,19687000.0,3107000.0,-155065000.0,0.0,-1491000.0,-3894000.0,13500000.0,,0.036000000000000004,0.02,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
SJOS4,5087000.0,19715000.0,28000.0,19687000.0,3107000.0,-155065000.0,0.0,-1491000.0,-3894000.0,13500000.0,,0.036000000000000004,0.02,TECIDOS_VESTUARIO_E_CALCADOS,FIOS_E_TECIDOS,,,,
SLCE3,7660640000.0,2459780000.0,891188000.0,1568590000.0,3542660000.0,2859830000.0,3379240000.0,573117000.0,333476000.0,190595000.0,0.21,0.08900000000000001,1.61,AGROPECUARIA,AGRICULTURA,,,,
SLCP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
SLED3,552820000.0,339398000.0,33249000.0,306149000.0,182718000.0,-321432000.0,473453000.0,-116185000.0,-351445000.0,63108000.0,-0.271,-0.282,0.75,MIDIA,JORNAIS_LIVROS_E_REVISTAS,,,,
SLED4,552820000.0,339398000.0,33249000.0,306149000.0,182718000.0,-321432000.0,473453000.0,-116185000.0,-351445000.0,63108000.0,-0.271,-0.282,0.75,MIDIA,JORNAIS_LIVROS_E_REVISTAS,,,,
SMLE3,1774930000.0,0.0,121774000.0,-121774000.0,978471000.0,524731000.0,1732700000.0,696957000.0,608905000.0,123857000.0,0.368,0.462,0.91,DIVERSOS,PROGRAMAS_DE_FIDELIZACAO,,,,
SMLS3,3342070000.0,0.0,506642000.0,-506642000.0,2081260000.0,1312820000.0,615015000.0,296147000.0,285670000.0,124159000.0,-0.28,0.109,1.35,DIVERSOS,PROGRAMAS_DE_FIDELIZACAO,,,,
SMTO3,11920200000.0,6239870000.0,1641950000.0,4597920000.0,3511290000.0,3392610000.0,3963150000.0,918672000.0,663253000.0,354011000.0,0.11199999999999999,0.092,1.83,ALIMENTOS,ALIMENTOS_DIVERSOS,,,,
SNSY5,349075000.0,87928000.0,3710000.0,84218000.0,166694000.0,-1302480000.0,434366000.0,-72173000.0,-169402000.0,7716000.0,0.057999999999999996,-0.244,0.49,MATERIAIS_DIVERSOS,MATERIAIS_DIVERSOS,,,,
SOMA3,1496780000.0,560403000.0,136228000.0,424175000.0,781696000.0,295398000.0,0.0,0.0,0.0,477142000.0,,,0.87,COMERCIO,TECIDOS_VESTUARIO_E_CALCADOS,,,,
SOND3,98049000.0,0.0,40618000.0,-40618000.0,55273000.0,72410000.0,65297000.0,4381000.0,21845000.0,2458000.0,-0.092,0.077,3.61,CONSTRUCAO_E_ENGENHARIA,ENGENHARIA_CONSULTIVA,,,,
SOND5,98049000.0,0.0,40618000.0,-40618000.0,55273000.0,72410000.0,65297000.0,4381000.0,21845000.0,2458000.0,-0.092,0.077,3.61,CONSTRUCAO_E_ENGENHARIA,ENGENHARIA_CONSULTIVA,,,,
SOND6,98049000.0,0.0,40618000.0,-40618000.0,55273000.0,72410000.0,65297000.0,4381000.0,21845000.0,2458000.0,-0.092,0.077,3.61,CONSTRUCAO_E_ENGENHARIA,ENGENHARIA_CONSULTIVA,,,,
SPRI3,23251000.0,0.0,3038000.0,-3038000.0,12097000.0,22420000.0,0.0,-8663730.0,-16549400.0,2529000.0,-0.073,-0.429,66.47,UTILIDADES_DOMESTICAS,ELETRODOMESTICOS,,,,
SPRI5,23251000.0,0.0,3038000.0,-3038000.0,12097000.0,22420000.0,0.0,-8663730.0,-16549400.0,2529000.0,-0.073,-0.429,66.47,UTILIDADES_DOMESTICAS,ELETRODOMESTICOS,,,,
SPRI6,23251000.0,0.0,3038000.0,-3038000.0,12097000.0,22420000.0,0.0,-8663730.0,-16549400.0,2529000.0,-0.073,-0.429,66.47,UTILIDADES_DOMESTICAS,ELETRODOMESTICOS,,,,
SQIA3,605953000.0,77689000.0,336293000.0,-258604000.0,366837000.0,432572000.0,192630000.0,2426000.0,2350000.0,70549000.0,0.24100000000000002,0.009000000000000001,5.96,PROGRAMAS_E_SERVICOS,PROGRAMAS_E_SERVICOS,,,,
STBP11,3254790000.0,435968000.0,351962000.0,84006000.0,536801000.0,1324970000.0,929123000.0,37882000.0,-4528000.0,862478000.0,0.036000000000000004,0.013000000000000001,2.06,TRANSPORTE,SERVICOS_DE_APOIO_E_ARMAZENAGEM,,,,
STBP3,3254790000.0,435968000.0,351962000.0,84006000.0,536801000.0,1324970000.0,929123000.0,37882000.0,-4528000.0,862478000.0,0.036000000000000004,0.013000000000000001,2.06,TRANSPORTE,SERVICOS_DE_APOIO_E_ARMAZENAGEM,,,,
STRP4,48190000.0,8235000.0,78000.0,8157000.0,4475000.0,-12498000.0,12815000.0,-11767000.0,-1869000.0,25391600000.0,-0.364,-0.255,0.13,TECIDOS_VESTUARIO_E_CALCADOS,VESTUARIO,,,,
SUBA3,656570000.0,2381000.0,371972000.0,-369591000.0,676180000.0,530396000.0,551634000.0,38436000.0,71836000.0,52979000.0,,0.191,5.55,,,,,,
SULA11,28481100000.0,2178080000.0,15094500000.0,-12916400000.0,20258500000.0,7490030000.0,21442400000.0,1233540000.0,1276380000.0,1182460000.0,0.084,0.092,1.93,PREVIDENCIA_E_SEGUROS,SEGURADORAS,,,,
SULA3,28481100000.0,2178080000.0,15094500000.0,-12916400000.0,20258500000.0,7490030000.0,21442400000.0,1233540000.0,1276380000.0,1182460000.0,0.084,0.092,1.93,PREVIDENCIA_E_SEGUROS,SEGURADORAS,,,,
SULA4,28481100000.0,2178080000.0,15094500000.0,-12916400000.0,20258500000.0,7490030000.0,21442400000.0,1233540000.0,1276380000.0,1182460000.0,0.084,0.092,1.93,PREVIDENCIA_E_SEGUROS,SEGURADORAS,,,,
